index,query
1050,What can I do about someone I manage who doesn't want to come to work but they perform a critical service?
1051,"For asthma patients, do I need to alter their daily asthma preventive management regimens to reduce their risk of getting sick with COVID-19?"
1052,what other precautions can law enforcement use in a death investigation?
1053,Isnâ€™t this essentially the same ailment as a cold?
1054,Keep taking precautions against the spread of COVID-19
1055,How does someone catch COVID-19?
1056,Can funerals or memorial services be conducted?
1057,What are the priorities for public health jurisdictions in nursing homes across the country?
1058,How would a COVID-19 vaccine be distributed to people?
1059,"If you're at an important job and can't work from home, go to work."
1060,Get acquainted with how to use your online platform.
1061,I was planning to go to a huge event. Is it still on?
1062,Continue repeat viral testing of all previously negative residents
1063,What is the government doing to protect people in nursing homes?
1064,Define a confirmed case.
1065,What should I do with my expired respirator?
1066,3.1 Is there any limit to how far I can travel?
1067,What are the hazards while transporting to and from schools?
1068,Can COVID-19 victims still have their organs donated?
1069,What does a humidifier do?
1070,Who should not wear a face covering?
1072,Tell your kid that they likely do not need to worry.
1073,Do air conditioners help spread the virus?
1074,Can i order some food for take out?
1075,Clean and disinfect any communal surfaces.
1076,Will covid-19 cause me to have a stroke or blood clots?
1077,"9. Is NIH providing alternatives on the requirements related to the use of Human Fetal Tissue (HFT) in NIH-funded research, in response to the pandemic?"
1078,Environmental services (EVS) personnel who clean and disinfect rooms of hospitalized patients with SARS-CoV-2 infection should wear what personal protective equipment (PPE)?
1079,Try not to linger in the restaurant.
1080,Can I get PUA if i Left my job?
1081,Would shutting down schools help stop COVID from spreading?
1083,Gather toilet paper and paper towel tubes to use as animal toys.
1084,how should you handle an essential employee that has been exposed to the coronavirus disease but has no symptoms?
1085,Reach out if you are having issues.
1086,Can I do crunches for my abs?
1087,Is there a way to test people for COVID-19
1088,Pick how and when you want your food to be delivered.
1090,What should employers do to protect workers from Covid-19 who work in non-healthcare fields?
1092,Can I play games like Minecraft at home?
1093,Will a disinfectant make a difference?
1094,I'm still employed but my boss has cut back on my hours. May I get benefits?
1095,Is there more information on covid testing?
1096,Does social distancing helps to avoid the virus?
1097,Watch a webinar to learn about fun modern subjects.
1098,Identify their peers who are taking COVID-19 seriously.
1099,Is dexamethasone on the list made by WHO Essential Medicines?
1100,Will employees qualify for benefits from unemployment if the Coronavirus (Covid-19) causes an employer to slow down or stop operations?
1101,I'm worried about my symptoms.
1102,What can patients do to resist coronavirus?
1103,What are the new cleaning protocols at the DND?
1104,When will the gyms open again?
1105,How often do we need to clean with COVID-19?
1106,Will my N95 respirator mask work better because it has an exhalation valve?
1107,The COVID -19 tracker will show the following in the future:
1108,"What information can I get from the Center for Disease Control to give to employees, students, and their families?"
1109,What exactly is meant by a COVID-19 case?
1110,"Similar to wildland firefighters, are first responders being given first priority to be tested for COVID-19?"
1111,Is asthma treatment different to reduce exposure to COVID-19?
1112,Is the covid 19 tracker from the CDC updated on a regular base?
1113,How do communities plan for mass casualties?
1114,It's a safe practice to change clothes and wash hands when returning home.
1115,Is a person still contagious after they no longer have symptoms?
1116,Minimize your news intake to avoid being upset.
1117,What is the coronavirus?
1118,How to self quarantine
1119,Who is required to get tested for COVID-19?
1120,What should I do if my worksite isn't following the safety requirements for COVID-19.
1121,If a team is having doubts and is uncertain how do we address this?
1122,What advice would you give about potential budgetary impact to municipalities?
1123,What data should cities track?
1124,Why isn't the USA disinfecting sidewalks and such like other nations?
1125,How long does it take to develop symptoms if you are COVID-19 positive?
1126,Are there identifying symptom related to corona virus?
1127,Who can I ask about the manufacture or distribution of protective gloves?
1128,How can I set up a mask-making business?
1129,How are things with the COVID-19 outbreak? What is my risk?
1130,Where is Georgia's coronavirus information?
1131,"Do masks protect the person who wears them, people around them, or both?"
1132,"What exactly do they mean by serologic antibody testing for COVID-19, and what is the use for it?"
1133,Is it safe for students to volunteer during COVID-19?
1134,Is there a treatment plan for COVID 19?
1135,Which things do I have to have to be prepared for quarantine?
1136,Does a vaccine exist?
1137,What are the terms of the SBA paycheck protection?
1138,How can staff request paid leave for Coronavirus?
1139,I'm worried about my drinking.
1140,"I am stiff from At home work, what can I do?"
1141,Are my shipped packages dangerous?
1142,What's done to confirm COVID-19 cases?
1143,What monetary stimulus is offered by the US SBA?
1144,What data does the State use to make decisions regarding COVID-19?
1145,Will my airline ticket and conference registration fee be charged still to the NIH grant if the airline gives us a one year voucher? What if I use it in eleven months? Will the registration fee still be charged the grant?
1146,When will OLAW approve their waviers?
1147,"For students who normally get extra services, including occupational and physical therapy, what will be done to ensure that those services continue?"
1148,What can pharmacies do to help stop COVID-19?
1149,Can I get UC if I am allowed to work from home?
1150,When will my benefits come?
1151,Can i still receive my Trade Readjustment Allowance (TRA) when my classes are suspended?
1152,"Even if offices are consed, will I still get Social Security?"
1153,For how long am I contagious?
1154,What makes a facility an outdoor facility?
1155,How is the CDE going to respond to covid-19?
1156,Does TRICARE cover at-home tests?
1157,What are the differences between flu and Covid 19?
1158,Do I need to disinfect my groceries?
1159,When will a report be released if the initial time is missed?
1160,"I'm a healthcare worker who has worked with patients directly, and not worn a mask. Whey do I need to wear one now?"
1161,How to locate the district or health region my city or country is in?
1162,How do I document that my child is healthy enough to be in childcare?
1163,It came to my notice that a new swine flu is spreading in china that could lead to a pandemic. Could this be the beginning of a second pandemic?
1164,What is the prescribed therapy for COVID 19 and other coronaviruses?
1165,Does my family member need to go to the ER if they catch coronavirus?
1166,What should I do to guard my child during the pandemic?
1167,What does contact tracing mean?
1168,FACT: People don't need to wear masks while they exercise.
1169,How can I secure myself and my surroundings from infection and prevent its spread?
1170,In what way is serology used by WHO as part of serology response?
1171,"If I'mm a healthcare worker, how do I help women who experienced violence during COVID-19?"
1172,What steps can workplaces take to prevent covid-19?
1173,Food premises to be cleaned during pandemic.
1174,How do I clean my laptop safely without hurting it?
1175,I am older and suffering from pain in my right knee. Are there options for treatment during quarantine?
1176,"If my doctor does not diagnose me with COVID-19, should I stay home for two weeks?"
1177,How do I know if I have anitbodies if I didn't feel ill?
1178,Use a microfiber cloth.
1179,Write an email to stay in contact.
1180,Make sure to clean your hamper with each use.
1181,Tell them to watch less news and listen to trusted entities.
1182,If someone has a panic attack stay calm and talk to them.
1183,Consult a credit expert if you're overwhelmed.
1184,Are public transit handles safe?
1185,A schedule for meals helps maintain calmness.
1186,Try something new
1187,Is stepping up the staircase a good aerobic routine?
1188,Practice hand washing and cleaning once items are stored at home.
1189,"If you are a college student, contact the financial aid office."
1191,"If you're feeling ill, use food delivery."
1192,Track the local rules for group meetings.
1193,Don't let your pet come in contact with COVID-19 carriers.
1194,"Get a hold of your lender as soon as possible, when you find out you can't pay."
1195,Make sure that your vaccinations are current.
1196,Provide access to legitimate news outlets to prevent false info.
1197,Where can I find fun math games?
1198,Tell me how you are stopping the spread of Covid-19
1199,Wear at least a double-layered mask.
1200,Use credible sources for updated news.
1201,Don't get on a crowded elevator.
1202,Should I move my meal from the packages to the plate?
1203,Get your information from trustworthy sources.
1204,Donate medical or cleaning supplies that haven't been used.
1205,Order food from nearby stores
1207,What are Alabama's hospitalization numbers?
1208,How will the CDPH guidance be enforced?
1209,If I feel well is it ok to ride the bus?
1210,Is it safe to go to work?
1211,Describe a respirator.
1212,What precautions should law enforcement take while investigating a death?
1213,Can a school metered dose inhaler be used by multiple students in his or her own spacer if the actuator is cleaned before use by the other student?
1214,What should parents say to kids about the virus?
1215,How can we help referees and coaches who are older and more susceptible to coronavirus?
1216,How to clean and disinfect equipment or machinery?
1217,Can someone be reinfected with COVID-19?
1218,How do I care for animals at nursing homes?
1219,Do I need CDC-recommended protective clothing?
1220,What should people do who believe they have COVID-19 a second time?
1221,Walking can serve as great family exercise
1222,How do you manage groups that create chaos to further their opportunities?
1223,What does COVID-19 mean?
1224,How effective is hand sanitizer?
1225,"I may have been exposed to coronavirus, but I don't have symptoms - What do I do now?"
1226,When did the stay at home order end?
1227,Can I use medical gloves to protect myself for coronavirus?
1228,Are tests being offered without authorization from the FDA?
1229,Does coronavirus survive in the air?
1230,Which activities should I continue avoiding?
1231,Symptoms that indicate infection
1232,Why report epidemiological death data if someone died with COVID-19 if it didn't cause the death?
1233,Can micronutrient (vitamin and mineral) supplements prevent or cure COVID-19?
1235,What COVID-19 test were approved by the FDA but aren't anymore?
